Token,Score,Direction
video,1.7816123554568977,positive
user,1.125751692579215,positive
domain,1.068580255818372,positive
application,1.0225317040424975,positive
api,0.9808434728443728,positive
access,0.8501685711889657,positive
cloud,0.7597059133177027,positive
platform,0.7463612142995805,positive
allows,0.7236365837400341,positive
cryptocurrency,0.710795342628747,positive
beat,0.6998572501379385,positive
data,0.6868429424347231,positive
provides,0.6736932949266373,positive
information,0.6453843161138035,positive
loan,0.6367291109906362,positive
