Token,Score,Direction
video,0.5134638147337018,positive
liveperson,0.49307112035566936,positive
chat,0.47483993573326644,positive
journalist,0.43516546790609867,positive
bank,0.38215456381589546,positive
science,0.3700771032334094,positive
cryptocurrency,0.3412216287159622,positive
api,0.3323869818905222,positive
mailwriter,0.3161618303551969,positive
credit,0.3096899338570703,positive
storage,0.3096283543478212,positive
meteorological,0.30320630262141535,positive
game,0.30166076138912984,positive
weather,0.28097043530900057,positive
mendix,0.2649401335961506,positive
