Category,Consolidated_Top_15_Tokens
Advertising,"sm, ad, reward, marketing, message, sm gateway, sm message, connect, pdf, managing, loyalty, integrate sm, management api, title, mashape"
Analytics,"analysis, crucial, analytical, format, information format, google, json analysis, social, service time, geographic location, basic api, api platform, service json, receipt, api data"
Application Development,"manage, app, platform developer, container engine, kubernetes, container, managing application, datastore api, instance, provisioning, manage create, code, user develop, store, managing"
Backend,"backend, implement, manages, handle, consistency, deployment, configuration, requires account, user management, medium, instance, information, across multiple, search, cloud"
Banking,"quarterly, institutional, sm, provider, preferred, account, zoom, manager, holder, message, sm message, thousand, intrinio, combining, complete"
Bitcoin,"order, loyalty, atm, implement, market, diamond, manager, discount, based, function accessed, public api, process, unlimited, allows client, knowledge"
Chat,"chat, streaming api, message, time access, chatting, ca, team, im, group, listen, streaming, friend, team collaboration, solve, provides real"
Cloud,"cloud, app user, management api, aspect data, specializes aspect, based us, aspect, shephertz, shephertz technology, cloud company, management, store, streaming api, ecommerce, connected"
Data,"datastore api, api software, github, edge data, datastore, flightstats cutting, flightstats, global flight, developer store, across travel, travel ecosystem, commercial aviation, focused commercial, company individual, data company"
Database,"database, data well, contains, reference, compare, helping, licensing, platform set, amount, object api, gene, flashcard, file, data management, structured"
Domains,"domain, godaddy, domain name, name, service domain, name service, provider domain, name name, domain connect, api domain, availability, distribution, table, sm, handle"
Education,"flashcard, learning, student, education, university, school, course, online, subject, data, date, information, adjusted price, image, school api"
Email,"email, sm, information format, receipt, crucial, sharing, analytical, sm gateway, duration, chat, bounce, geographic location, center, integrate sm, chatting"
Enterprise,"order management, help business, sm, important, zoom, management service, business, order, message, provides order, designed help, scheduling, provided, sm message, marketing"
Entertainment,"information video, sentence, translation, meme, basic account, video, phrase, author, regular, english, tv, mashape, service json, daily, prior"
