Token,Score,Direction
video,1.5930390696569035,positive
user,1.3961494420827782,positive
api,1.3241508452489477,positive
science,1.0882666816733035,positive
data,1.0542837112548453,positive
back,1.0330651606713777,positive
domain,0.922911767378336,positive
cloud,0.8583824020971759,positive
cryptocurrency,0.8461869845259444,positive
platform,0.8389082528729306,positive
developer,0.8023259189910378,positive
application,0.7924896858970062,positive
email,0.6758354350230407,positive
business,0.6524776766440635,positive
loan,0.6457763617702409,positive
