Token,Score,Direction
api,0.31231937936708043,positive
chat,0.30856975202551734,positive
postcode,0.3008295447661338,positive
journalist,0.2971064269367372,positive
bank,0.2924328792855565,positive
liveperson,0.2524962571896245,positive
bitcoin,0.23088172859387548,positive
mendix,0.22765311119783344,positive
mailwriter,0.2162541477662989,positive
government,0.2137040354594032,positive
mailing,0.20965810020177228,positive
imagga,0.20176509775332288,positive
game,0.19886562092839316,positive
loan,0.19305747625258748,positive
communication,0.18267489416203567,positive
