Category,Tokens_In_Plot
Advertising,"adgear, advertising, supply, publisher, advanced, marketer, marketing, bidding, authentication, device, digital, contact, serving, industry, benefit"
Analytics,"chartbeat, video, rest, content, audience, give, return, understand, api, top, connecting"
Application Development,"mendix, docker, job, managing, software, apache, mesos, development, scheduling, kernel, provision, integrate, run, manage, construction"
Backend,"server, hugeserver, colocation, hosting, monitoring, api, virtual, account, automation, dedicated, graph, internal, offer, vpn, sub"
Banking,"bank, loan, customer, industry, api, table, classification, institution, construction, include, mining, professional, asian, main, includes"
Bitcoin,"bitcoin, cryptocurrency, exchange, canadian, private, public, cavirtex, trading, programmatically, order, api, request, implement, virtual, formatted"
Chat,"chat, liveperson, communication, transcript, api, searching, copy, analysis, party, provider, engagement, storing, record, business, real"
Cloud,"cloud, photo, amazon, drive, google, rest, let, node, previous, send, main, add, restored, trash, customer"
Data,"github, api, list, offer, real, update, provider, status, software, deployment, factor, development, two"
Database,"loan, cloud, rest, strengthen, economy, initiate, small, competitive, business, search, sba, browser, aim, third, return"
Domains,"domain, dns, godaddy, registration, search, whois, privacy, name, provided, displayed, server, burning, api, available, hosting"
Education,"scholar, community, love, mission, science, researcher, contribute, over, inspired, collaborate, api, easier, join, everyone, ire"
Email,"mailwriter, mailing, cloud, send, postcard, api, party, account, single, allowing, return, letter, credit, complete, formatted"
Enterprise,"vendorrisk, software, asset, organization, track, currently, integrate, contract, vendor, formatted, xml, view, method, another, let"
Entertainment,"video, movie, quote, api, database, random, daily, image, search, restriction, day, verse, meeting, length, quotation"
