Token,Score,Direction
storage,0.7809733468758209,positive
science,0.6575487741318407,positive
bank,0.6013042494605075,positive
server,0.4701388910292518,positive
lending,0.4561735078668256,positive
imagga,0.4300898265444315,positive
liveperson,0.4151950586757048,positive
mailwriter,0.3761278263871004,positive
government,0.36517962045357516,positive
loan,0.3353361020494652,positive
bitcoin,0.33226971258391685,positive
press,0.3160947215011864,positive
cryptocurrency,0.30928318839837365,positive
weather,0.28020224758023815,positive
meteorological,0.26002078856108846,positive
