Category,Consolidated_Top_Words
Advertising,"adgear, technology, advertising, digital, side, attribution, supply, publisher, advanced, marketer, marketing, bidding, authentication, device, contact"
Analytics,"chartbeat, video, rest, content, audience, give, return, understand, api, top, connecting"
Application Development,"managing, apache, mendix, docker, job, software, mesos, development, scheduling, kernel, provision, integrate, run, manage, construction"
Backend,"server, ion, hugeserver, colocation, hosting, monitoring, api, virtual, account, automation, dedicated, graph, internal, offer, vpn"
Banking,"loan, bank, industry, api, advance, business, customer, table, classification, institution, construction, include, mining, professional, asian"
Bitcoin,"api, cryptocurrency, exchange, cavirtex, trading, bitcoin, canadian, private, public, programmatically, order, request, implement, virtual, formatted"
Chat,"api, liveperson, transcript, engagement, chat, communication, searching, copy, analysis, party, provider, storing, record, business, real"
Cloud,"amazon, cloud, drive, let, trash, photo, google, rest, node, previous, send, main, add, restored, customer"
Data,"deployment, github, api, list, software, offer, real, update, provider, status, factor, development, two"
Database,"rest, business, loan, small, call, cloud, strengthen, economy, initiate, competitive, search, sba, browser, aim, third"
Domains,"domain, api, dns, search, godaddy, registration, whois, privacy, name, provided, displayed, server, burning, available, hosting"
Education,"scholar, community, love, mission, science, researcher, contribute, over, inspired, collaborate, api, easier, join, everyone, ire"
Email,"mailwriter, mailing, send, postcard, api, letter, cloud, party, account, single, allowing, return, credit, complete, formatted"
Enterprise,"vendorrisk, api, software, asset, organization, track, currently, integrate, contract, vendor, formatted, xml, view, method, another"
Entertainment,"quote, random, video, api, database, certain, movie, daily, image, search, restriction, day, verse, meeting, length"
