Category,Tokens_In_Plot
Advertising,"adgear, attribution, marketer, api, digital, serving, programmatically, publisher, technology, software, marketing, interact, advertising, additional, medium"
Analytics,"chartbeat, video, content, api, give, audience, return, rest, connecting, top, understand"
Application Development,"docker, mendix, managing, job, apache, mesos, scheduling, process, api, development, manage, additional, foundation, product, machine"
Backend,"server, hosting, ion, graph, monitoring, bandwidth, api, hugeserver, installation, vpn, cloud, virtual, account, offer, hybrid"
Banking,"bank, table, loan, api, format, customer, advance, financial, industry, institution, singapore, summarizes, quarrying, manufacturing, category"
Bitcoin,"bitcoin, cryptocurrency, canadian, exchange, api, cavirtex, order, communicate, receive, checking, request, public, virtual, private, restful"
Chat,"chat, liveperson, api, transcript, format, purpose, historical, customer, business, communication, restful, searching, record, history, return"
Cloud,"cloud, photo, amazon, main, google, drive, api, add, previous, document, bin, send, trash, node, let"
Data,"github, api, list, status, deployment, real, provider, development, offer, two, factor, update, software"
Database,"loan, rest, call, account, aim, designed, economy, small, assist, transfer, preserve, competitive, strengthen, search, business"
Domains,"domain, dns, api, godaddy, registration, connect, content, error, whois, available, search, hosting, record, name, privacy"
Education,"mendeley, scholar, community, science, api, researcher, easier, life, everyone, mission, contribute, love, over, collaborate, join"
Email,"mailing, mailwriter, api, send, cloud, return, personalized, single, credit, third, manage, postcard, allowing, formatted, party"
Enterprise,"xml, vendorrisk, formatted, delete, software, integrate, currently, organization, api, asset, let, keep, vendor, track, view"
Entertainment,"movie, video, api, quote, database, image, random, day, meeting, search, large, daily, quotation, certain, content"
